"%s (Default Template from Locale)","%s (Standaard sjabloon van localisatie)"
"%s cache type(s) disabled.","%s cache type(n) gedeactiveerd"
"%s cache type(s) enabled.","%s cache type(n) geactiveerd"
"%s cache type(s) refreshed.","%s cache type(n) vernieuwd"
"The Catalog Rewrites were refreshed.","De catalogus-rewrites werden vernieuwd."
"The CatalogInventory Stock Status has been rebuilt.","De voorraadstatus van CatalogInventory is opnieuw gegenereerd."
"The Comment Text field cannot be empty.","Het berichtveld kan niet leeg worden gelaten."
"The Flat Catalog Product was rebuilt","De platte cataloguscategorie werd opnieuw gegenereerd."
"The JavaScript/CSS cache has been cleaned.","Het JavaScript/CSS cachegeheugen werd opgeschoond."
"The JavaScript/CSS cache has been cleared.","Het JavaScript/CSS cachegeheugen werd verwijderd."
"The Layered Navigation indexing has been queued.","De indexering van gelaagde navigatie werd in de wachtrij geplaatst."
"The Layered Navigation indexing queue has been canceled.","De wachtrij voor indexering van de gelaagde navigatie werd geannuleerd."
"The Layered Navigation indices were refreshed.","De indices voor gelaagde navigatie werden vernieuwd."
"The Layered Navigation process has been queued to be killed.","Het gelaagde navigatie-proces werd in de wachtrij geplaatst voor vernietiging."
"The Magento cache storage has been flushed.","De Magento-cacheopslag is leeg gemaakt."
"The URL Rewrite has been deleted.","De URL Rewrite is verwijderd."
"The URL Rewrite has been saved.","De URL Rewrite is opgeslagen."
"The account has been saved.","Het account is opgeslagen"
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","Het archief kan uitgepakt worden met <a href=""%s"">%s</a> op Windows systemen."
"The attribute set has been removed.","De attribuutset is verwijderd"
"The backup has been created.","De backup is aangemaakt"
"The billing agreement has been canceled.","De incasso-overeenkomst is geannuleerd."
"The billing agreement has been deleted.","De incasso-overeenkomst is verwijderd."
"The cache storage has been flushed.","De cacheopslag is leeg gemaakt."
"The card has failed verification with the issuer bank.","De kaart kon niet geverifieerd worden bij de betrokken bank."
"The carrier needs to be specified.","De vervoerder dient gespecificeerd te worden."
"The catalog index has been rebuilt.","De catalogusindex is opnieuw gegenereerd."
"The catalog rewrites have been refreshed.","De catalogus-rewrites zijn vernieuwd."
"The configuration has been saved.","De configuratie is opgeslagen."
"The credit memo has been canceled.","De creditfactuur is geannuleeerd."
"The credit memo has been created.","De creditfactuur is aangemaakt."
"The credit memo has been voided.","De creditfactuur is nietig verklaard."
"The custom variable has been deleted.","De aangepaste variabele is verwijderd."
"The custom variable has been saved.","De aangepaste variabele is opgeslagen."
"The customer does not exist in the system anymore.","Deze klant is niet meer actief in dit systeem"
"The customer doesn't exist in the system anymore","De klant zit niet meer in het systeem."
"The customer has been deleted.","De klant is verwijderd."
"The customer has been saved.","De klant is opgeslagen."
"The design change has been deleted.","De vormgevingswijziging is verwijderd."
"The design change has been saved.","De vormgevingswijziging is opgeslagen."
"The email address is empty.","Het e-mailadres is leeg."
"The email template has been deleted.","De e-mail-sjabloon is verwijderd."
"The email template has been saved.","De e-mail-sjabloon is opgeslagen."
"The flat catalog category has been rebuilt.","De platte cataloguscategorie is opnieuw gegenereerd."
"The group node name must be specified with field node name.","De groepsnaam moet worden gespecificeerd met een gekoppelde veldnaam."
"The image cache was cleaned.","Het afbeelding-cachegeheugen werd opgeschoond."
"The image cache was cleared.","Het afbeelding-cachegeheugen werd leeg gemaakt."
"The information in this tab has been changed.","De informatie in deze tab is gewijzigd."
"The invoice and shipment have been created.","De factuur en verzending zijn aangemaakt."
"The invoice has been canceled.","De factuur is geannuleerd"
"The invoice has been captured.","De factuur is betaald"
"The invoice has been created.","De factuur is aangemaakt"
"The invoice has been voided.","De factuur is ongeldig"
"The invoice no longer exists.","De factuur bestaat niet langer."
"The order does not allow creating an invoice.","Bij deze bestelling kan geen factuur gemaakt worden"
"The order no longer exists.","De order bestaat niet langer."
"The poll has been deleted.","De poll is verwijderd."
"The poll has been saved.","De poll is opgeslagen."
"The profile has been deleted.","Het profiel is verwijderd."
"The profile has been saved.","Het profiel is opgeslagen."
"The profile has been updated.","Het profiel is bijgewerkt."
"The profile has no changes.","Het profiel is niet aangepast."
"The rating has been deleted.","De waardering is verwijderd."
"The rating has been saved.","De waardering is opgeslagen."
"The role has been deleted.","De rol is verwijderd."
"The role has been saved.","De rol is opgeslagen."
"The role has been successfully saved.","De rol is opgeslagen."
"The role has beensuccessfully saved.","De rol is opgeslagen."
"The search index has been rebuilt.","De zoekindex werd opnieuw gegenereerd."
"The shipment has been created.","De verzending werd aangemaakt."
"The shipment has been sent.","De verzending werd verzonden."
"The tag has been deleted.","Het label is verwijderd."
"The tag has been saved.","Het label is verwijderd."
"The user has been deleted.","De gebruiker is verwijderd."
"The user has been saved.","De gebruiker is opgeslagen."
"Themes JavaScript and CSS files combined to one file.","De JavaScript- en CSS-bestanden van het thema werden samengevoegd tot één bestand."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Er werd onjuiste betalingsinformatie ingevoerd of de tijdslimiet is verlopen. Probeer het a.u.b. nog eens."
"There is an error in one of the option rows.","Er is een fout opgetreden in één van de optierijen."
"This Account is","Dit account is"
"This Email template no longer exists.","Dit e-mail-sjabloon bestaat niet meer."
"This Role no longer exists","Deze rol bestaat niet meer."
"This Role no longer exists.","Deze rol bestaat niet meer."
"This account is","Dit account is"
"This account is inactive.","Dit account is niet actief."
"This attribute set does not have attributes which we can use for configurable product","Deze attributenenset heeft geen attributen die we kunnen gebruiken voor een configureerbaar product."
"This attribute set don't have attributes which we can use for configurable product","Deze attributenenset heeft geen attributen die we kunnen gebruiken voor een configureerbaar product."
"This attribute shares the same value in all the stores","Dit attribuut heeft dezelfde waarde in alle winkels"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dit is een demowinkel. Geen van de, in deze winkel, geplaatste orders zal in behandeling worden genomen."
"This is a required field.","Dit is een verplicht veld."
"This product is currently disabled","Dit product is momenteel geblokkeerd"
"This product is currently disabled.","Dit product is momenteel geblokkeerd."
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","Dit rapport is afhankelijk van de tijdzondeconfiguratie. Wanneer de tijdzone is gewijzigd dienen de levensduurstatistieken vernieuwd te worden."
"This section is not allowed.","Deze sectie is niet toeganglijk."
"This tab contains invalid data. Please solve the problem before saving.","Deze tab bevat ongeldige data. Los dit probleem op voordat u opslaat."
"This user no longer exists","Deze gebruiker bestaat niet meer."
"This user no longer exists.","Deze gebruiker bestaat niet meer."
"Thumbnail","Thumbnail"
"Time","Tijd"
"Time selection:","Tijdkeuze:"
"Time:","Tijd"
"To","To"
"Toggle Editor","Editor gebruiken"
"Tools","Hulpmiddelen"
"Top 5 Search Terms","Top 5 zoektermen"
"Total","Totaal"
"Total %d records found","In totaal zijn er %d records gevonden"
"Total Amount","Totale hoeveelheid"
"Total Invoiced","Totaal gefactureerd"
"Total Order Amount","Totaal orderbedrag"
"Total Refunded","Totaal teruggestort"
"Total of %d record(s) have been deleted.","In totaal is/zijn er %s record(s) met succes verwijderd"
"Total of %d record(s) have been updated.","In totaal is/zijn er %s record(s) met succes bijgewerkt"
"Total of %d record(s) were successfully deleted","In totaal is/zijn er %s record(s) met succes verwijderd"
"Total of %d record(s) were successfully updated","In totaal is/zijn er %s record(s) met succes bijgewerkt"
"Track Order","Volg bestelling"
"Track this shipment","Volg deze verzending"
"Tracking number %s for %s assigned","Volgnummer %s voor %s is toegewezen"
"Tracking number can not be empty.","Track en Trace nummer mag niet leeg zijn."
"Tracking number cannot be empty.","Het opvolgnummer kan niet leeg zijn."
"Transaction Data","Transactiedatum"
"Transaction Details","Transactiedetails"
"Transaction ID","Transactie-ID"
"Transaction Type","Transactietype"
"Transactional Emails","Beheer e-mail-sjablonen"
"Transactions","Transacties"
"Try Magento Go for Free",""
"Type","Soort"
"Type:","Soort:"
"URL Rewrite","URL-herschrijving"
"URL Rewrite Information","URL-herschrijving informatie"
"URL Rewrite Management","URL-herschrijvingen"
"Unable to cancel the credit memo.","De creditfactuur kon niet geannuleerd worden."
"Unable to find a Email Template to delete.","Er kon geen e-mail-sjabloon gevonden worden die verwijderd kon worden."
"Unable to find a poll to delete","Kan geen poll vinden om te verwijderen"
"Unable to find a poll to delete.","Kan geen poll vinden om te verwijderen"
"Unable to find a tag to delete","Kan geen label vinden om te verwijderen"
"Unable to find a tag to delete.","Kan geen label vinden om te verwijderen"
"Unable to find a user to delete","Kan geen gebruiker vinden om te verwijderen"
"Unable to find a user to delete.","Kan geen gebruiker vinden om te verwijderen"
"Unable to initialize import model","Kan geen import-model initialiseren"
"Unable to refresh lifetime statistics.","Kan statistieken voor gehele levensduur niet vernieuwen"
"Unable to refresh recent statistics.","Kan recente statistieken niet vernieuwen"
"Unable to save Cron expression","Kan Cron-expressie niet opslaan"
"Unable to save the cron expression.","Kan Cron-expressie niet opslaan"
"Unable to save the invoice.","Kan de factuur niet opslaan"
"Unable to send the invoice email.","Kan de factuur niet e-mailen"
"Unable to send the shipment email.","Kan de zending niet e-mailen"
"Unable to void the credit memo.","Kan de creditfactuur niet nietig verklaren"
"Uninstall","De-installeren"
"Uninstalling $pkg, please wait...","Bezig met de-installeren van $pkg, wacht a.u.b..."
"Uninstalling selected packages, please wait...","Bezig met de-installeren van geselecteerde pakketten, wacht a.u.b..."
"Unknown","Onbekend"
"Unknown error","Onbekende fout"
"Unlimited","Onbeperkt"
"Unselect All","De-selecteer alle"
"Unselect Visible","De-selecteer zichtbare"
"Update","Bijwerken"
"Updated At","Laatste wijziging"
"Upgrade","Upgraden"
"Upgrade All Available Packages","Alle beschikbare pakketten upgraden"
"Upgrade all packages","Alle pakketten upgraden"
"Upgrading $pkg, please wait...","Bezig met upgraden van $pkg, wacht a.u.b..."
"Upgrading all available packages, please wait...","Bezig met upgraden van alle beschikbare pakketten, wacht a.u.b..."
"Upgrading all packages, please wait...","Bezig met upgraden van alle pakketten, wacht a.u.b..."
"Upgrading selected packages, please wait...","Bezig met upgraden van alle geselecteerde pakketten, wacht a.u.b..."
"Upload File","Bestand uploaden"
"Upload Files","Bestanden uploaden"
"Upload HTTP Error","Upload HTTP fout"
"Upload I/O Error","Upload I/O fout"
"Upload Local File","Lokaal bestand uploaden"
"Upload Security Error","Upload veiligheidsfout"
"Upload and Install","Uploaden en installeren"
"Upload import file","Importbestand uploaden"
"Upload local file:","Lokaal bestand uploaden:"
"Urlrewrite Information","URLrwrite-gegevens"
"Use All Available Attributes","Gebruik alle beschikbare attributen"
"Use Config Settings","Gebruik configuratie instellingen"
"Use Default","Standaard gebruiken"
"Use Default Value","Standaardwaarden gebruiken"
"Use Default Variable Values","Standaardwaarden gebruiken"
"Use Website","Website gebruiken"
"Used Currently For","Momenteel gebruikt voor"
"Used as Default For","Gebruikt als standaard voor"
"User","Gebruiker"
"User Email","E-mail van gebruiker"
"User ID","Gebruiker-ID"
"User Info","Gebruikerinfo"
"User Information","Gebruikergegevens"
"User Name","Gebruikersnaam"
"User Name is required field.","Gebruikersnaam is verplicht"
"User Name:","Gebruikersnaam:"
"User Role","Rol van gebruiker"
"User Roles","Rollen van gebruiker"
"User Roles Information","Rolgegevens gebruiker"
"User name","Gebruikersnaam"
"User was successfully deleted","Gebruiker is met succes verwijderd"
"User was successfully saved","Gebruiker is met succes opgeslagen"
"User with the same User Name or Email aleady exists","Gebruiker met zelfde gebruikersnaam of e-mailadres bestaat al"
"Users","Gebruikers"
"Value","Waarde"
"Value Delimiter:","Waarde-scheidingsteken:"
"Variable","Variabele"
"Variable Code","Variabele Code"
"Variable HTML Value","Variabele HTML-waarde"
"Variable ID","Variabele-ID"
"Variable Name","Variabele Naam"
"Variable Plain Value","Variabele Vlakke Waarde"
"Verification Failed","Verificatie faalde"
"Verification Successful","Verificatie succesvol"
"Verification cannot be processed","Verificatie kan niet worden uitgevoerd."
"Version","Versie"
"Version:","Versie:"
"View","Bekijken"
"View Actions XML","Bekijk acties XML"
"View Full Size","Bekijk op ware grootte"
"View Memo","Bekijk bericht"
"View Memo for #%s","Bekijk bericht voor #%s"
"View Shipment","Bekijk zending"
"View Statistics For","Statistieken bekijken voor"
"Visibility:","Zichtbaarheid"
"Warning! Empty value can cause problems with CSV format.","LET OP! Lege waarde kan problemen veroorzaken met het CSV-formaat."
"Warning! This action will remove this user from already assigned role Are you sure?","LET OP! Deze actie zal deze gebruiker verwijderen van de al toegewezen rol. Weet u het zeker?"
"Warning! This action will remove those users from already assigned roles Are you sure?","LET OP! Deze actie zal deze gebruikers verwijderen van de al toegewezen rollen. Weet u het zeker?"
"Warning: Please do not close the window during importing/exporting data","Waarschuwing: Sluit het venster niet tijdens het importeren/exporteren van de gegevens"
"Warning: Please don't close window during importing/exporting data","LET OP! Dit venster NIET sluiten tijdens het importeren/exporteren van data, a.u.b."
"Watermark File for %s","Watermerk-bestand voor %s"
"We appreciate our merchants' feedback, please <a href=""#"" onclick=""surveyAction('yes'); return false;"">take our survey</a> to provide insight on the features you would like included in Magento. <a href=""#"" onclick=""surveyAction('no'); return false;"">Remove this notification</a>","Wij waarderen klantfeedback. Neem daarom deel aan ons onderzoek om ons inzicht te geven in de mogelijkheden die u graag aan Magento toegevoegd zou zien. Verwijder deze melding."
"We detected that your JavaScript seem to be disabled.","We hebben geconstateerd dat JavaScript uit staat."
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","We zijn terug naar de tekentafel voor meer functies in Magento. Dank voor uw geduld."
"Web","Web"
"Web Section","Sectie Web"
"Web Services","Web Services"
"Web services","Web services"
"Website","Website"
"What is this?","Wat is dit?"
"Wishlist Report","Verlanglijst-rapport"
"Wrong billing agreement ID specified.","Onjuiste ID voor incasso-overeenkomst gespecificeerd."
"Wrong column format","Verkeerd kolommenformaat"
"Wrong column format.","Onjuist kolomformaat."
"Wrong newsletter template.","Onjuist nieuwsbriefsjabloon."
"Wrong tab configuration","Onjuiste tab-configuratie"
"Wrong tab configuration.","Onjuiste tab-configuratie."
"Wrong tag was specified.","Onjuiste tag gespecificeerd."
"Wrong transaction ID specified.","Onjuiste transactie-ID gespecificeerd."
"XML","XML"
"YTD","Vanaf begin dit jaar"
"Year","Jaar"
"Yes","Ja"
"Yes (301 Moved Permanently)","Ja (301 Permanent verhuisd)"
"Yes (302 Found)","Ja (302 gevonden)"
"Yes (only price with tax)","Ja (alleen prijzen incl. BTW)"
"You can not delete self assigned roles.","U kan geen zelf-toegewezen rollen verwijderen"
"You cannot delete account of yourself","U kan niet uw eigen account verwijderen"
"You cannot delete your own account.","U kan niet uw eigen account verwijderen"
"You have","U hebt"
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","%s ongelezen melding(en). <a href=""%s"">Ga naar de inbox</a>."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","%s, %s en %s ongelezen melding(en) <a href=""%s"">Ga naar de inbox</a>."
"You have logged out.","U bent afgemeld."
"You have not enough permissions to use this functionality.","U hebt onvoldoende rechten om deze functionaliteit te gebruiken."
"You have not enought permissions to login.","U hebt geen toestemming om in te loggen."
"You have not enought permissions to use this functionality.","U hebt onvoldoende rechten om deze functionaliteit te gebruiken."
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Om deze website correct te laten werken, dient JavaScript in uw browser ingeschakeld te zijn"
"You need specify carrier.","U moet een transporteur specificeren."
"You need to specify order items","U moet de bestelde artikelen specificeren"
"You need to specify order items.","U dient de orderitems te specificeren."
"You successfully logged out.","U bent met succes uitgelogd."
"Your Account has been deactivated.","Uw account is gedeactiveerd."
"Your answers contain duplicates.","Uw antwoord bevat duplicaten."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","De PHP-instellingen van uw server staan niet toe om files  te uploaden die groter zijn dan %s. Wijzig de waarden van post_max_size (nu %s) en upload_max_filesize (nu %s) in php.ini als u grotere files wilt uploaden."
"Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.","Uw webserver is onjuist geconfigureerd. Daardoor zijn configuratiebestanden met gevoelige informatie ook toegankelijk voor buitenstaanders. Neem contact op met uw hostingprovider."
"Zip/Postal Code","Postcode"
"Zip/Postal Code:","Postcode:"
"[ deleted ]","[ verwijderd ]"
"[GLOBAL]","[GLOBAAL]"
"[STORE VIEW]","[WINKELZICHT]"
"[WEBSITE]","[WEBSITE]"
"[deleted]","[verwijderd]"
"and","en"
"b","b"
"close","Sluiten"
"critical","kritiek"
"dpd_dpd","DPD Basis"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","voorbeeld: ""sitemap/"" of ""/"" voor basispad. (Pad moet schrijfbaar zijn.)"
"example: sitemap.xml","voorbeeld: sitemap.xml"
"from","Van"
"gls_gls","GLS Basis"
"handtekeningvoorontvangst_handtekeningvoorontvangst","PostNL Handtekening voor Ontvangst"
"images/logo.gif","images/logo.gif"
"items selected","Geselecteerde artikelen"
"major","belangrijk"
"md5sum","md5sum"
"minor","gering"
"notice","ongelezen"
"of %s pages","van %s pagina's"
"per page","per pagina"
"store(%s) scope","Scope winkel (%s)"
"tnt_tnt","PostNL Basis"
"to","naar"
"unread message(s). <a href=""%s"">Go to messages inbox</a>.","berichten. <a href=""%s"">Lees de berichten</a>."
"website(%s) scope","Scope website(%s)"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%s"">configuration</a>.","In de site die u live zet, kunt u {{base_url}} beter niet als uw veilige of onveilig basis-URL gebruiken. We raden u met klem aan om deze waarde te veranderen in uw Magento <a href=""%s"">configuratie</a>."
